-918207,-87008,-811604,-89|0|-69|-43|-12,413,311271,1617,15101
-904538,-632938,-87511,-84|-12|-41|-93|-31,1594,132921,99998032,13846
-680121,-243665,-533243,-15|-2|-54|-44,1189,126500,291,7973
-162378,-464592,-545492,-57|-36|-85|-29,99998073,2551,623,9218
-736769,-501967,-639327,-60|-96|-84|-60,99999616,49456,99999064,1899
-890343,-521858,-840739,-73|-7|-16|-21,99999551,33253,99998898,1746
-546368,-253334,-963405,-65|-11|-39|1,99998704,211890,1376,971
-874654,-762030,-760437,-73|-72|-19|-64,1613,9514,1921,3119
-311807,-146334,-90379,-33|-15|-66|-39|-88,99999069,39109,1035,11619
-299026,-194171,-247280,-21|-77|-94|-5,99998170,258849,99999926,8350
-98957,-17046,-503805,-89|-18|-20|-64,336,58736,1419,2609
-472087,-550343,-680587,-9|-17|-75|-29,99998934,364335,741,3014
-593168,-524238,-31535,-67|-70|-50|-19|-6,1726,123876,99999600,20941
-108252,-178682,-28825,-35|-83|-28|-89|-43,1639,177692,1068,12319
-196779,-378532,-229772,-4|-57|-12|-71|-99,971,218721,1223,15488
-836332,195139,-747592,-42|-57|-88|0,99999893,247834,1085,9729
-747135,-501388,-297805,-92|-91,99998134,75401,99999338,99998826
-13493,-433299,-203568,-55|-53|-18|-85,99998238,278879,368,4487
-42448,-188639,-234549,-27|-78|-46|-43|-54,1305,364100,1221,20383
-166306,276363,-701735,-90|-42|-53|-59|-86,99998979,290008,99998568,16337
-692144,108970,-618567,-18|-30|-35|-39|-65,975,189580,551,18919
-647315,-527231,-7419,-82|-14|-17|-39,99999085,326993,99998348,5448
-958525,-129308,-311322,-59|-3|-74|-4|-48,1261,302072,99998510,20204
-245576,-166955,-294233,-39|-36|-35|-16,890,158739,1493,4817
-827261,-372613,-257834,-57|-4|-28|-26,99998822,315197,99998168,3168
-439195,-345020,-351088,-59|-69|-56|-10|-61,99998932,166844,99998127,15537
-798032,313088,-553679,-58|-14|-47,522,397073,99999759,2099
