-918207,-87008,-811604,-89|0|-69|-43|-12,825,312163,3233,14807
-904538,-632938,-87511,-84|-12|-41|-93|-31,3186,131223,99996056,13072
-680121,-243665,-533243,-15|-2|-54|-44,2375,125600,581,8545
-162378,-464592,-545492,-57|-36|-85|-29,99996135,839,1245,9172
-736769,-501967,-639327,-60|-96|-84|-60,99999220,50858,99998120,737
-890343,-521858,-840739,-73|-7|-16|-21,99999089,35237,99997788,2220
-546368,-253334,-963405,-65|-11|-39|1,99997400,211440,2750,99999588
-874654,-762030,-760437,-73|-72|-19|-64,3225,10434,3839,2643
-311807,-146334,-90379,-33|-15|-66|-39|-88,99998129,40147,2067,10163
-299026,-194171,-247280,-21|-77|-94|-5,99996330,260801,99999842,9778
-98957,-17046,-503805,-89|-18|-20|-64,668,58712,2835,1455
-472087,-550343,-680587,-9|-17|-75|-29,99997856,362481,1479,4784
-593168,-524238,-31535,-67|-70|-50|-19|-6,3446,123466,99999190,22577
-108252,-178682,-28825,-35|-83|-28|-89|-43,3277,179314,2132,13543
-196779,-378532,-229772,-4|-57|-12|-71|-99,1941,220303,2441,13836
-836332,195139,-747592,-42|-57|-88|0,99999777,247814,2165,11603
-747135,-501388,-297805,-92|-91,99996258,75741,99998664,99997580
-13493,-433299,-203568,-55|-53|-18|-85,99996468,278487,730,4689
-42448,-188639,-234549,-27|-78|-46|-43|-54,2609,364096,2435,21607
-166306,276363,-701735,-90|-42|-53|-59|-86,99997949,289530,99997122,17173
-692144,108970,-618567,-18|-30|-35|-39|-65,1947,189600,1095,18259
-647315,-527231,-7419,-82|-14|-17|-39,99998159,327841,99996682,4750
-958525,-129308,-311322,-59|-3|-74|-4|-48,2517,300356,99997006,21574
-245576,-166955,-294233,-39|-36|-35|-16,1774,158977,2979,6125
-827261,-372613,-257834,-57|-4|-28|-26,99997630,315919,99996322,1830
-439195,-345020,-351088,-59|-69|-56|-10|-61,99997856,168280,99996215,15649
-798032,313088,-553679,-58|-14|-47,1042,398305,99999479,3337
-447789,-433821,-828994,-11|-5|-57|-80|-37,99999462,90841,99996207,14242
-609213,-967142,-236909,-13|-53|-95|-53|-41,99998703,3213,99999827,14518
-325999,-375831,-352828,-66|-22|-23|-4|-18,3797,172041,99997115,16638
-781744,-971780,-271017,-86|-52|-61|-74,99997461,26338,99996791,7524
-396509,31025,-960996,-89|-9|-28|-53|-39,99997616,125279,99998152,13818
-711507,-617228,-261677,-41|-83|-69|-26|-38,1366,119410,281,14647
-18427,-640238,-498975,-65|-63|-61|0|-73,799,276326,99999548,22240
-291842,-583405,-32299,2|-2|-8|-76,720,69447,3605,11520
-196742,94852,-945127,-1|-25|-33|-3,99996900,179467,210,960
-431612,-543126,-379715,-38|-75|-92|-45,1226,180555,99998661,7192
-99916,80476,-338925,-26|-93|-52|-58,99999398,341303,99999417,5612
-658606,-195525,-234071,-72|-70|-86|-31,99998468,99998427,3583,7941
-136157,-284360,-757532,-8|-19|-90|-92,486,327576,99997746,6813
-998280,-570167,-873719,-43|-43|0|-7|-86,99998486,242051,99999438,17268
-612948,-539246,-214125,-13|1|-55|-23|-38,2384,174265,99997802,15126
-826880,-38908,-762301,-72|-29|-41|-35,99996504,243805,99999438,6760
-923031,-473247,-440258,-65|-25|0|-89,1486,64284,99999374,6256
-886302,-137645,-494855,-36|-45|-82|-22|-26,99996412,238097,2104,20050
-466257,-368075,-865039,-15|-52|-50|-52|-74,99998656,44067,3201,12662
-960432,-259766,-647060,-28|-58|6|-86,2050,251835,99996952,2320
-471744,-557756,-170538,-29|-68|-31|-1|-8,899,21886,99996500,12996
-918037,-461722,-725477,-2|-86|-32|-72,99999840,351642,2854,99999816
-664159,-86811,-607087,-51|-60|-64|-73|-82,99996892,3332,99999698,18705
-699609,-40315,-390142,-89|-60|-22|-47,1374,370179,1195,11642
-597074,-629610,-340451,-6|-46|-92|-60|-59,99997318,131925,99999598,13548
-214946,-683878,-395845,-60|-25|-10|-44,1600,39844,2287,4687
-234991,-678658,-780721,-45|-28|-13|-24|-33,99997388,110138,99997366,18833
-49339,-642403,-411774,-94|-55|-37|-17|-22,99996889,192139,99998450,11601
-804784,30895,-150921,-10|-43|7|-2|-14,99997456,174586,99997819,15743
-521753,-352622,-207505,-60|-7|3|-57,99999368,116080,1949,5639
-118092,-542037,-305224,-1|-30|-70|-85|-60,99996073,147286,99999848,19105
-97946,-985580,-176085,-20|-38|-1|-93,3667,5459,601,10388
-728277,-392749,-551868,-96|-38|-55|-3|-79,99998664,227411,99999021,11347
-370422,-308320,-189838,-25|-62|-90|-81,122,344373,3222,9250
-389646,-823217,-492665,-48|-58|-81|-13|-76,3881,45627,1675,18058
-138401,-630136,-112022,-42|-5|-62|-63|-53,2038,41853,99996258,13558
-384607,101088,-774545,-82|-48|-82|-9|-56,3947,344028,99998930,14482
-254419,2282,-694173,-73|-37|-62|-51|-83,99998547,171784,99999630,14705
-346015,-320842,-504058,-22|-56|-39|-28|-67,3569,81934,99997982,17887
-263577,-431856,-372419,-86|-59|-7|-80,2950,360475,51,1857
-437646,-440286,-423911,-90|-77|-97|-85|-75,99996852,10983,1260,20416
-401919,276590,-893584,-89|-4|-63|-55,3386,346811,3568,4815
-205209,-375673,-317359,-26|-52|-80|-52|-33,99996694,67967,3276,15771
-564957,-297112,-377891,-70|-36|-49|-3,99996859,188543,99998671,583
-378604,-452304,-954143,-52|-24|-89|-25|-84,485,167511,704,7836
-899584,130064,-544326,-47|-81|-66|-6|-7,1838,209046,144,10289
-92100,-500647,-741654,-73|-11|-23|-11,99997610,277217,99998407,727
-260350,-138694,-932996,-59|-2|-37|-85|-74,99996312,233641,1141,13481
-997533,-187014,-466750,-20|-70|-80|-2|-10,2006,210723,99999916,21472
-794254,-543781,-707568,-16|-82|5|-74,99997766,278389,1893,10209
-181762,-577760,-529492,-91|-2|-79|-57,99999919,71720,99999508,8631
-308103,-523110,-796415,-84|-24|-60|-15|-9,99998812,184888,4037,12027
-289605,-338882,-350788,-79|-32|-93|-71,99996681,33912,2697,34
-28427,-435472,-907265,-20|-66|-59|-41|-26,99999268,126988,2174,15257
-113446,-382442,-442641,-84|-92|-36|-42,99996745,389439,99997921,734
-402138,231854,-218102,-72|-71|-73|-10|-82,163,359258,99999261,12666
-658077,-324108,-149115,-57|-9|-30|-68,84,88539,3194,4756
-434071,-712322,-53624,-29|-28|-23|-17,99998464,76774,99996577,885
-686707,79428,-344564,-86|-4|-8|-51,99996745,110513,914,6597
-900846,-675452,-345133,-68|-68|-42|-75,3181,124442,99998286,643
-844089,-855752,-408975,-45|-10|-67|-68,99997793,130011,3675,4242
-197029,-598758,-858345,-43|-41|-40|-72,2799,70416,2875,7106
-612322,115387,-76804,-44|-61|-73|-84|-11,3644,190361,99998918,21335
-241432,-556522,-750508,-7|-32|-18|-74|-71,3077,202637,99999246,8392
-360273,78314,-385710,-58|-34|-68|-91,2786,394177,99997546,3364
-467279,-141969,-182079,-1|-62|-91|-25,99998412,249348,99999951,3057
-342903,-74619,-156003,-47|-80|-28|-27|-23,99997505,268156,2248,7157
-966178,-141809,-186435,-39|-23|-5|-83,99997512,241546,99997284,5606
-609981,-371887,-28174,-12|-66|-54|-76,99999105,95979,3941,5592
-263500,-749255,-506216,-71|-60|-13|-76|-53,759,152082,99997200,9548
-786,-379233,-223069,-17|-84|-9,99996568,81584,99998361,1873
-679262,-230652,-360082,-62|-93|-30|-62|7,1166,216346,99998701,18477
-487375,-285139,-733229,8|-68|-55|-19,175,89556,99999437,11625
