1,310379,1,15395
2,134619,1,14620
3,127400,1,7401
4,4263,1,9264
5,48054,1,3061
6,31269,1,1272
1,212340,2,2361
1,8594,3,3595
2,38071,3,13075
3,256897,3,6922
4,58760,3,3763
5,366189,3,1244
6,124286,3,19305
1,176070,4,11095
1,217139,5,17140
2,247854,5,7855
3,75061,5,65
1,279271,6,4285
1,364104,7,19159
2,290486,7,15501
3,189560,7,19579
4,326145,7,6146
5,303788,7,18834
6,158501,7,3509
7,314475,7,4506
1,165408,32,15425
2,395841,32,861
3,88321,32,13326
4,5485,32,15486
5,171621,32,16630
6,23230,32,8232
1,122671,33,17690
2,121038,33,11051
3,274938,33,19952
4,67835,33,7836
1,176723,34,1732
2,178827,34,3836
3,339087,34,9120
1,900,35,5901
2,323880,35,8897
3,241791,35,16828
4,170349,35,15358
5,239833,35,9856
6,61524,35,6528
1,239533,36,19534
1,45259,37,10262
2,253563,37,3588
3,25806,37,10808
1,351678,38,1713
1,4640,39,19641
2,373163,39,8218
3,135661,39,10680
4,41180,39,6183
5,109038,39,19049
6,188735,39,13745
1,171902,64,11903
1,119388,65,9399
2,147630,65,17645
3,2775,65,7776
1,230235,66,15247
2,346977,66,6978
1,43271,67,18278
2,40385,67,10390
3,347200,67,12218
4,175028,67,15029
5,81226,67,16239
6,356611,67,1629
1,14135,68,19136
2,350359,68,5411
3,69959,68,14963
4,189455,68,4483
5,165515,68,10524
6,205122,68,10133
7,278493,68,3507
1,230417,69,15429
2,208359,69,18380
3,274533,69,9573
4,75004,69,5011
5,184140,69,14159
6,37008,69,2010
1,128256,70,18269
2,392311,70,2350
3,359618,70,14670
4,91467,70,1476
5,74262,70,4269
6,111309,70,6325
1,123862,71,3863
2,131831,71,6850
3,68864,71,3874
4,193289,71,18299
5,206509,71,11520
6,391269,71,1308
1,246152,96,1189
2,270780,96,10781
1,238954,97,3966
2,99135,97,4140
3,155398,97,10420
1,80432,98,433
2,219486,98,14517
3,89412,98,9413
